序号,时间(s),电压(V)
508,2.05200000,-2.400000
509,2.05600000,-2.160000
510,2.06000000,-3.960000
511,2.06400000,-1.160000
512,2.06800000,-3.040000
513,2.07200000,-1.160000
514,2.07600000,-3.040000
515,2.08000000,-1.960000
516,2.08400000,-4.200000
517,2.08800000,-1.240000
518,2.09200000,-2.640000
519,2.09600000,-2.040000
520,2.10000000,-4.160000
521,2.10400000,-1.480000
522,2.10800000,-3.440000
523,2.11200000,-0.720000
524,2.11600000,-3.320000
525,2.12000000,-2.080000
526,2.12400000,-4.080000
527,2.12800000,-1.040000
528,2.13200000,-2.160000
529,2.13600000,-2.560000
530,2.14000000,-4.120000
531,2.14400000,-1.240000
532,2.14800000,-3.000000
533,2.15200000,-1.000000
534,2.15600000,-3.040000
535,2.16000000,-2.040000
536,2.16400000,-4.120000
537,2.16800000,-1.240000
538,2.17200000,-2.160000
539,2.17600000,-2.160000
540,2.18000000,-3.840000
541,2.18400000,-1.400000
542,2.18800000,-3.400000
543,2.19200000,-1.080000
544,2.19600000,-2.960000
545,2.20000000,-2.160000
546,2.20400000,-4.000000
547,2.20800000,-1.040000
548,2.21200000,-2.360000
549,2.21600000,-2.120000
550,2.22000000,-3.880000
551,2.22400000,-1.400000
552,2.22800000,-2.960000
553,2.23200000,-1.040000
554,2.23600000,-3.000000
555,2.24000000,-1.960000
556,2.24400000,-4.000000
557,2.24800000,-1.080000
558,2.25200000,-2.760000
559,2.25600000,-2.360000
560,2.26000000,-3.960000
561,2.26400000,-1.600000
562,2.26800000,-3.360000
563,2.27200000,-0.600000
564,2.27600000,-3.040000
565,2.28000000,-2.040000
566,2.28400000,-3.840000
567,2.28800000,-0.880000
568,2.29200000,-2.360000
569,2.29600000,-1.880000
570,2.30000000,-3.920000
571,2.30400000,-1.480000
572,2.30800000,-3.040000
573,2.31200000,-0.680000
574,2.31600000,-3.000000
575,2.32000000,-1.760000
576,2.32400000,-3.840000
577,2.32800000,-0.880000
578,2.33200000,-2.520000
579,2.33600000,-2.000000
580,2.34000000,-3.760000
581,2.34400000,-1.040000
582,2.34800000,-3.520000
583,2.35200000,-0.960000
584,2.35600000,-3.000000
585,2.36000000,-1.800000
586,2.36400000,-4.080000
587,2.36800000,-0.760000
588,2.37200000,-2.320000
589,2.37600000,-2.280000
590,2.38000000,-3.800000
591,2.38400000,-1.400000
592,2.38800000,-3.480000
593,2.39200000,-1.040000
594,2.39600000,-3.120000
